Class,Ratio,Intercolumniation,Pillar,Ratio_Values
22,574; 1; 3,70; 2,10; 1,76
22,574; 2; 4,48; 2,67; 1,68
22,574; 3; 4,25; 2,81; 1,51
22,574; 4; 3,51; 2,81; 1,25
22,574; 5; 1,87; 2,81; 0,67
13,202; 1; 2,20; 1,22; 1,80
13,202; 2; 2,67; 1,49; 1,79
13,202; 3; 2,54; 1,57; 1,62
13,202; 4; 2,06; 1,66; 1,24
13,202; 5; 1,29; 1,23; 1,05
5,82; 1; 1,04; 0,51; 2,05
5,82; 2; 0,92; 0,61; 1,52
5,82; 3; 1,10; 0,73; 1,50
5,82; 4; 0,82; 0,717; 1,15
5,82; 5; 0,54; 0,717; 0,76
16,22; 1; 2,86; 1,47; 1,94
16,22; 2; 3,13; 1,81; 1,73
16,22; 3; 3,02; 2,18; 1,39
16,22; 4; 2,31; 2,24; 1,03
16,22; 5; 1,56; 1,65; 0,95
